start frame,end frame,bout_dur,bout_num,cumul_dur
2289,3197,908,1,908
7587,7656,69,2,977
13890,14024,134,3,1111
18956,19081,125,4,1236
22087,22469,382,5,1618
23510,23546,36,6,1654
29216,31742,2526,7,4180
31824,31998,174,8,4354
32280,32309,29,9,4383
36589,36640,51,10,4434
36565,36644,79,11,4513
36740,37134,394,12,4907
39321,40134,813,13,5720
42309,42371,62,14,5782
45417,45536,119,15,5901
51689,53476,1787,16,7688
53596,54854,1258,17,8946
58272,58802,530,18,9476
62714,62920,206,19,9682
72685,79458,6773,20,16455
90271,90501,230,21,16685
91186,93708,2522,22,19207
98678,99210,532,23,19739
112793,115561,2768,24,22507
115723,116193,470,25,22977
116330,116362,32,26,23009
118727,118966,239,27,23248
119027,119321,294,28,23542
120385,120704,319,29,23861